creationDate|id|firstName|lastName|gender|birthday|locationIP|browserUsed|isLocatedIn|speaks|email
2011-07-26T21:41:34.142+00:00|19791209299968|John|Khan|male|1985-02-24|27.4.90.237|Internet Explorer|285|te;ur;en|John19791209299968@gmail.com;John19791209299968@gmail.com;John19791209299968@gmail.com;John19791209299968@gmail.com
2012-01-02T01:21:20.107+00:00|24189255811104|Miguel|Gonzalez|male|1981-09-17|148.204.226.31|Chrome|737|es;en|Miguel24189255811104@gmail.com;Miguel24189255811104@gmail.com;Miguel24189255811104@gmail.com;Miguel24189255811104@yahoo.com
2011-12-29T07:56:39.032+00:00|24189255811081|Alim|Guliyev|female|1984-10-07|91.191.192.127|Firefox|510|az;ru;en|Alim24189255811081@gmail.com;Alim24189255811081@gmail.com
2012-01-13T23:46:22.926+00:00|26388279066650|Rahul|Sharma|female|1985-11-12|49.50.77.195|Firefox|125|mr;kn;en|Rahul26388279066650@gmail.com
2010-01-19T13:51:10.863+00:00|27|Wojciech|Ciesla|male|1985-12-07|31.182.127.125|Internet Explorer|1282|pl;en|Wojciech27@gmail.com;Wojciech27@yahoo.com;Wojciech27@gmx.com;Wojciech27@gmail.com
2012-06-26T12:37:35.179+00:00|30786325577740|Jose|Alonso|female|1987-08-18|196.1.135.241|Internet Explorer|1073|es;en|Jose30786325577740@hotmail.com;Jose30786325577740@gmx.com
2012-03-13T15:16:08.597+00:00|28587302322196|Yahya Ould Ahmed El|Abdallahi|male|1989-01-28|41.188.97.221|Internet Explorer|531|ar;wo;en|Yahya.Ould.Ahmed.El28587302322196@gmail.com;Yahya.Ould.Ahmed.El28587302322196@gmail.com
2011-07-19T06:51:09.287+00:00|19791209299997|Lei|Zhang|male|1986-07-23|1.2.2.77|Firefox|452|zh;en|Lei19791209299997@gmail.com;Lei19791209299997@zoho.com;Lei19791209299997@gmx.com;Lei19791209299997@gmail.com;Lei19791209299997@gmail.com
2010-04-18T01:27:21.494+00:00|2199023255573|Arbaaz|Ali|female|1987-01-10|115.186.113.189|Safari|779|ur;en|Arbaaz2199023255573@gmx.com;Arbaaz2199023255573@gmail.com;Arbaaz2199023255573@gmail.com;Arbaaz2199023255573@gmx.com;Arbaaz2199023255573@gmail.com
2011-03-07T01:25:47.322+00:00|15393162788910|Alejandro|Garcia|male|1986-12-16|189.202.102.202|Firefox|750|es;en|Alejandro15393162788910@gmx.com;Alejandro15393162788910@yahoo.com;Alejandro15393162788910@gmail.com;Alejandro15393162788910@yahoo.com;Alejandro15393162788910@gmail.com
